City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,satun,6.8333,100.0,25.0,96,99,0.74,TH,1722990494
381,contamana,-7.3333,-75.0167,28.01,60,78,1.4,PE,1722990495
382,queenstown,-31.8976,26.8753,7.94,24,0,1.81,ZA,1722990326
383,grand falls-windsor,48.9332,-55.6649,15.84,75,38,5.3,CA,1722990497
384,tolanaro,-25.0319,46.9987,22.04,83,75,5.14,MG,1722990498
385,pundong,-7.9522,110.3486,23.69,86,96,1.64,ID,1722990499
386,waingapu,-9.6567,120.2641,26.45,71,38,6.48,ID,1722990501
387,port alberni,49.2413,-124.8028,26.07,55,9,4.02,CA,1722990501
388,santa luzia,-19.7697,-43.8514,20.6,45,0,3.09,BR,1722990334
389,mitu,1.1983,-70.1733,23.2,95,83,1.41,CO,1722990504
390,tangalle,6.024,80.7911,24.09,91,89,3.76,LK,1722990505
391,taoudenni,22.6783,-3.9836,37.57,19,13,3.11,ML,1722990506
392,kankara,11.9302,7.4127,22.54,86,90,5.03,NG,1722990507
393,polyarnyy,69.1989,33.4478,11.77,55,19,4.17,RU,1722990508
394,dunedin,-45.8742,170.5036,11.56,58,44,1.34,NZ,1722990510
395,makaha,21.4694,-158.2175,31.95,48,0,5.66,US,1722990511
396,mokshan,53.4365,44.6132,16.52,68,49,2.01,RU,1722990512
397,roma,43.2128,-75.4557,20.08,88,0,2.57,US,1722990513
398,beledweyne,4.7358,45.2036,24.37,79,70,8.07,SO,1722990514
399,paramonga,-10.6667,-77.8333,16.64,87,26,5.59,PE,1722990515
400,mana,5.6592,-53.7767,26.79,82,2,4.03,GF,1722990516
401,naze,28.3667,129.4833,30.51,72,5,1.65,JP,1722990518
402,chu,43.5983,73.7614,21.98,57,0,2.64,KZ,1722990519
403,leua,48.2156,18.6071,18.05,63,0,2.11,SK,1722990520
404,srandakan,-7.9386,110.2506,23.74,86,98,2.03,ID,1722990522
405,mabini,15.6,120.9833,26.35,84,86,0.89,PH,1722990523
406,ouadda,8.0777,22.4007,19.69,97,99,1.4,CF,1722990524
407,puke,42.0444,19.8997,20.48,56,0,3.8,AL,1722990526
408,amga,60.8953,131.9608,15.35,70,21,2.25,RU,1722990527
409,selfoss,63.9331,-20.9971,8.91,85,69,2.16,IS,1722990528
410,haiku-pauwela,20.9219,-156.3051,28.98,67,20,12.86,US,1722990530
411,broome,42.2506,-75.833,20.36,94,100,3.09,US,1722990531
412,basti,26.8,82.7167,25.03,93,100,3.34,IN,1722990532
413,ulladulla,-35.35,150.4667,14.08,44,6,0.67,AU,1722990534
414,kenai,60.5544,-151.2583,18.05,84,100,5.14,US,1722990535
415,tuba city,36.135,-111.2399,32.43,32,21,6.71,US,1722990536
416,usinsk,65.9939,57.5281,6.77,71,7,5.04,RU,1722990253
417,westport,41.1415,-73.3579,23.3,89,100,5.66,US,1722990538
418,west plains,36.7281,-91.8524,33.79,61,20,2.68,US,1722990433
419,myrhorod,49.9685,33.6089,17.98,61,97,2.18,UA,1722990540
420,carnarvon,-24.8667,113.6333,21.02,59,59,4.84,AU,1722990542
421,afaahiti,-17.75,-149.2833,27.93,84,7,9.3,PF,1722990543
